NAIVE::LOCAL,5,1.0,34.94,JavaTutorial_4_7_5:1.0:34.94
NAIVE::LOCAL,5,1.0,15.49,JavaTutorial_4_7_7:1.0:15.49
GLOBAL::AS,4,1.0,2.03,create_2d_array_v2:1.0:2.03
GLOBAL::AS,4,0.0,1.75,use_2darray_v2:0.0:1.75
GLOBAL::AS,4,1.0,9.22,array_declaration_v2:1.0:9.22
GLOBAL::AS,4,1.0,34.94,JavaTutorial_4_7_5:1.0:34.94
GLOBAL::COS,5,0.0,1.75,use_2darray_v2:0.0:1.75
GLOBAL::COS,5,1.0,2.03,create_2d_array_v2:1.0:2.03
GLOBAL::COS,5,1.0,9.22,array_declaration_v2:1.0:9.22
GLOBAL::COS,5,1.0,34.94,JavaTutorial_4_7_5:1.0:34.94
GLOBAL::COS,5,1.0,15.49,JavaTutorial_4_7_7:1.0:15.49
LOCAL::AS,3,1.0,2.03,create_2d_array_v2:1.0:2.03
LOCAL::AS,3,1.0,9.22,array_declaration_v2:1.0:9.22
LOCAL::AS,3,0.0,1.75,use_2darray_v2:0.0:1.75
LOCAL::COS,3,1.0,2.03,create_2d_array_v2:1.0:2.03
LOCAL::COS,3,0.0,1.75,use_2darray_v2:0.0:1.75
LOCAL::COS,3,1.0,9.22,array_declaration_v2:1.0:9.22
P::GLOBAL::AS,4,0.0,1.75,use_2darray_v2:0.0:1.75
P::GLOBAL::AS,4,1.0,2.03,create_2d_array_v2:1.0:2.03
P::GLOBAL::AS,4,1.0,9.22,array_declaration_v2:1.0:9.22
P::GLOBAL::AS,4,1.0,34.94,JavaTutorial_4_7_5:1.0:34.94
P::GLOBAL::COS,4,0.0,1.75,use_2darray_v2:0.0:1.75
P::GLOBAL::COS,4,1.0,9.22,array_declaration_v2:1.0:9.22
P::GLOBAL::COS,4,1.0,2.03,create_2d_array_v2:1.0:2.03
P::GLOBAL::COS,4,1.0,34.94,JavaTutorial_4_7_5:1.0:34.94
P::LOCAL::AS,3,1.0,2.03,create_2d_array_v2:1.0:2.03
P::LOCAL::AS,3,0.0,1.75,use_2darray_v2:0.0:1.75
P::LOCAL::AS,3,1.0,9.22,array_declaration_v2:1.0:9.22
P::LOCAL::COS,3,0.0,1.75,use_2darray_v2:0.0:1.75
P::LOCAL::COS,3,1.0,2.03,create_2d_array_v2:1.0:2.03
P::LOCAL::COS,3,1.0,9.22,array_declaration_v2:1.0:9.22
P::GLOBAL::AS::GOAL,4,1.0,2.03,create_2d_array_v2:1.0:2.03
P::GLOBAL::AS::GOAL,4,0.0,1.75,use_2darray_v2:0.0:1.75
P::GLOBAL::AS::GOAL,4,1.0,15.49,JavaTutorial_4_7_7:1.0:15.49
P::GLOBAL::AS::GOAL,4,1.0,13.7,TicTacToe:1.0:13.7
P::GLOBAL::COS::GOAL,4,1.0,15.49,JavaTutorial_4_7_7:1.0:15.49
P::GLOBAL::COS::GOAL,4,0.0,1.75,use_2darray_v2:0.0:1.75
P::GLOBAL::COS::GOAL,4,1.0,2.03,create_2d_array_v2:1.0:2.03
P::GLOBAL::COS::GOAL,4,1.0,13.7,TicTacToe:1.0:13.7
P::LOCAL::AS::GOAL,4,0.0,1.75,use_2darray_v2:0.0:1.75
P::LOCAL::AS::GOAL,4,1.0,2.03,create_2d_array_v2:1.0:2.03
P::LOCAL::AS::GOAL,4,1.0,15.49,JavaTutorial_4_7_7:1.0:15.49
P::LOCAL::AS::GOAL,4,1.0,13.7,TicTacToe:1.0:13.7
P::LOCAL::COS::GOAL,4,0.0,1.75,use_2darray_v2:0.0:1.75
P::LOCAL::COS::GOAL,4,1.0,2.03,create_2d_array_v2:1.0:2.03
P::LOCAL::COS::GOAL,4,1.0,15.49,JavaTutorial_4_7_7:1.0:15.49
P::LOCAL::COS::GOAL,4,1.0,13.7,TicTacToe:1.0:13.7
NAIVE::LOCAL,1,1.0,7.92,JavaTutorial_4_2_2:1.0:7.92
GLOBAL::AS,1,1.0,7.92,JavaTutorial_4_2_2:1.0:7.92
GLOBAL::COS,1,1.0,7.92,JavaTutorial_4_2_2:1.0:7.92
LOCAL::AS,1,1.0,7.92,JavaTutorial_4_2_2:1.0:7.92
LOCAL::COS,1,1.0,7.92,JavaTutorial_4_2_2:1.0:7.92
P::LOCAL::AS,1,1.0,7.92,JavaTutorial_4_2_2:1.0:7.92
P::LOCAL::COS,1,1.0,7.92,JavaTutorial_4_2_2:1.0:7.92
P::GLOBAL::AS::GOAL,1,1.0,7.92,JavaTutorial_4_2_2:1.0:7.92
GLOBAL::AS,1,1.0,10.8,OperatorExample_v2:1.0:10.8
GLOBAL::COS,1,1.0,10.8,OperatorExample_v2:1.0:10.8
LOCAL::COS,1,1.0,10.8,OperatorExample_v2:1.0:10.8
P::GLOBAL::AS,1,1.0,10.8,OperatorExample_v2:1.0:10.8
P::GLOBAL::COS,1,1.0,10.8,OperatorExample_v2:1.0:10.8
